number,value,datetime_start,datetime_complete,duration,params_batch_size,params_classifier_hidden_mult,params_dropout,params_focal_gamma,params_hidden_size,params_input_dropout,params_label_smoothing,params_lr,params_lstm_out_dropout,params_num_layers,params_weight_decay,user_attrs_best_gap,user_attrs_best_score,user_attrs_best_val_f1,state
0,0.7415009902193898,2026-04-21 17:50:54.835399,2026-04-21 17:51:06.510235,0 days 00:00:11.674836,128,0.75,0.6031616510212273,1.2567663137948073,48,0.21039025411012308,0.08172118130312142,0.00029259165815356206,0.46863266000822046,1,0.00020366442026830908,0.0,0.7415009902193898,0.7415009902193898,COMPLETE
1,0.7484042361085909,2026-04-21 17:51:06.511616,2026-04-21 17:51:20.088268,0 days 00:00:13.576652,128,0.75,0.3698858237554259,2.351884846304383,48,0.17998205344476406,0.1674275491797984,0.00022472426780406697,0.41658655598791905,2,0.004093813608598782,0.007611251305242206,0.7484042361085909,0.7484042361085909,COMPLETE
2,0.7488537409670392,2026-04-21 17:51:20.089475,2026-04-21 17:51:28.238071,0 days 00:00:08.148596,128,1.0,0.5318827995238937,2.2527582905987082,128,0.10909887663129383,0.13164299639788446,0.0008020483900081042,0.38403060953001483,1,0.003946212980759096,0.004623076663867076,0.7488537409670392,0.7488537409670392,COMPLETE
3,0.7636889690624927,2026-04-21 17:51:28.239196,2026-04-21 17:51:36.619533,0 days 00:00:08.380337,256,1.0,0.39832707839058323,1.0077309639730434,128,0.18994362910538695,0.1686284428373218,0.0007979087515611474,0.21341590123864318,1,0.00021757649801197563,0.030719924742395488,0.7636889690624927,0.7639049464852113,COMPLETE
4,0.7541556500517158,2026-04-21 17:51:36.620507,2026-04-21 17:51:44.688515,0 days 00:00:08.068008,256,1.0,0.32224542260010824,1.9985427021121929,96,0.10884381260048176,0.15933345826487258,0.00046610593201744344,0.29633249491203617,1,0.00015965665886173757,0.02598994596653892,0.7541556500517158,0.7541556500517158,COMPLETE
5,0.7459884907876111,2026-04-21 17:51:44.689583,2026-04-21 17:51:58.342202,0 days 00:00:13.652619,128,1.0,0.4100245933767143,1.4056520340792753,48,0.17799974190764595,0.057407618833180754,0.0003013488748156262,0.5584049132667418,2,0.00013514082247401428,0.007737304184642357,0.7459884907876111,0.7459884907876111,COMPLETE
6,0.7592690797548057,2026-04-21 17:51:58.343316,2026-04-21 17:52:08.460418,0 days 00:00:10.117102,128,1.0,0.6136319549732226,1.715046223608592,96,0.11130121624015235,0.10095987053529243,0.0009349934646188284,0.19952336603745452,2,0.0001027570105825669,0.00939266143715023,0.7592690797548057,0.7592690797548057,COMPLETE
7,0.7576794400938572,2026-04-21 17:52:08.461958,2026-04-21 17:52:22.026664,0 days 00:00:13.564706,128,0.5,0.636856553229739,1.0720702517499852,48,0.08812380353887744,0.07736989892022395,0.0005961605643533341,0.3737618276515734,2,0.0007145565133513971,0.0,0.7576794400938572,0.7576794400938572,COMPLETE
8,0.7582437443030524,2026-04-21 17:52:22.027682,2026-04-21 17:52:29.850251,0 days 00:00:07.822569,256,0.5,0.5548757220141509,1.261125914559796,64,0.12872409645173863,0.036931774064309864,0.0008933500726389192,0.4345376237671107,1,0.00035074840789944736,0.008430895071360078,0.7582437443030524,0.7582437443030524,COMPLETE
9,0.670042573309922,2026-04-21 17:52:29.851302,2026-04-21 17:52:33.949995,0 days 00:00:04.098693,128,0.75,0.6278554960578571,2.144111080281702,128,0.04813233045109763,0.1243841379719086,0.00031750282645537115,0.30347985797261634,1,0.0013221876538695291,,,,PRUNED
10,0.7613956380372991,2026-04-21 17:52:33.950982,2026-04-21 17:52:41.820943,0 days 00:00:07.869961,256,1.0,0.45049201947670325,1.6411496924542917,80,0.3108358247487142,0.19870165312825733,0.001128673705074713,0.15679885123123138,1,0.00038116552905785735,0.01950370807084334,0.7613956380372991,0.7613956380372991,COMPLETE
11,0.6845034846302722,2026-04-21 17:52:41.821982,2026-04-21 17:52:44.500325,0 days 00:00:02.678343,256,1.0,0.45202469511474397,1.6847516863848297,80,0.31740567226491917,0.1944773123934131,0.0011976463741425825,0.1549595126354467,1,0.00046459962207741806,,,,PRUNED
12,0.7057779241510639,2026-04-21 17:52:44.501332,2026-04-21 17:52:47.173930,0 days 00:00:02.672598,256,1.0,0.4711779174193167,1.613382234487588,80,0.3468307064417401,0.19757303123755304,0.0011786784612847281,0.2368635575724073,1,0.0002874027935013907,,,,PRUNED
13,0.6792954571500589,2026-04-21 17:52:47.174943,2026-04-21 17:52:49.900417,0 days 00:00:02.725474,256,1.0,0.40851302948696055,1.0444902171490849,32,0.2620936761803972,0.16824477471908983,0.0006061497455038071,0.15309873756123146,1,0.0010501415602176749,,,,PRUNED
14,0.7018360856093121,2026-04-21 17:52:49.901473,2026-04-21 17:52:52.886746,0 days 00:00:02.985273,256,1.0,0.31154042604401294,1.903199434738851,128,0.256432231382144,0.1473732875620097,0.0007228622024497579,0.2616216120299479,1,0.0005158007976068683,,,,PRUNED
15,0.7588500025922086,2026-04-21 17:52:52.887751,2026-04-21 17:53:00.850424,0 days 00:00:07.962673,256,0.5,0.5190992736892639,1.4349583508105026,80,0.010030713387281287,0.18411720880513704,0.001008361126694221,0.20922237743000993,1,0.0002481619547332115,0.04247545131815178,0.7588500025922086,0.7625926379876541,COMPLETE
16,0.6431416982137441,2026-04-21 17:53:00.851454,2026-04-21 17:53:03.512520,0 days 00:00:02.661066,256,1.0,0.42658303151903343,1.864754139629631,32,0.2839192467915419,0.14631384016526777,0.000435254723935651,0.313864242665187,1,0.0022498597947092826,,,,PRUNED
17,0.7251895727062062,2026-04-21 17:53:03.513484,2026-04-21 17:53:07.090522,0 days 00:00:03.577038,256,1.0,0.3616448402636568,1.4932648849756454,64,0.22591007224262596,0.1777459965816859,0.0006683371091690664,0.19885134328482915,2,0.0008170908912746224,,,,PRUNED
18,0.682141854737785,2026-04-21 17:53:07.091594,2026-04-21 17:53:09.857756,0 days 00:00:02.766162,256,0.75,0.508161555026587,1.2253823626065121,80,0.3195861435381761,0.14173106628588816,0.0005372115462357757,0.5983014229823604,1,0.00040979478674277797,,,,PRUNED
19,0.7275712704937569,2026-04-21 17:53:09.859325,2026-04-21 17:53:13.909794,0 days 00:00:04.050469,256,0.5,0.37161933377197065,2.0770562660834893,128,0.14936785686955248,0.10595153400079627,0.0007895234727448294,0.15013966852324367,1,0.00018655576052232703,,,,PRUNED
20,0.7594625771196315,2026-04-21 17:53:13.910766,2026-04-21 17:53:22.963442,0 days 00:00:09.052676,256,1.0,0.44510244113110264,1.8260626597361236,80,0.20893235013515568,0.1990485162673155,0.0009824851214324767,0.2583184924996148,2,0.0017234721689863355,0.03559827393433823,0.7594625771196315,0.761142059299933,COMPLETE
21,0.739172787207805,2026-04-21 17:53:22.964432,2026-04-21 17:53:28.372356,0 days 00:00:05.407924,256,1.0,0.4451071148082281,1.8239825518779156,80,0.218264267306823,0.19919051896760526,0.0010369500749649748,0.2583806594168494,2,0.0018223652723203944,,,,PRUNED
22,0.7348497105383975,2026-04-21 17:53:28.373328,2026-04-21 17:53:32.663680,0 days 00:00:04.290352,256,1.0,0.48446739378662285,1.757448300997059,80,0.24504910072088565,0.17801311715080484,0.0008382596500325918,0.22081476806529876,2,0.0022995505334678025,,,,PRUNED
23,0.7233582098401374,2026-04-21 17:53:32.664672,2026-04-21 17:53:36.799329,0 days 00:00:04.134657,256,1.0,0.3987762211704935,1.5639923318430893,80,0.2902875010781076,0.18628655287519524,0.0010721520605018369,0.3376465775391877,2,0.000292320237339724,,,,PRUNED
24,0.7419417901306838,2026-04-21 17:53:36.800260,2026-04-21 17:53:42.029861,0 days 00:00:05.229601,256,1.0,0.4769516048103733,1.9971237684344296,128,0.18931358072979645,0.16547640217712017,0.0009493818985787769,0.2698370164104456,2,0.0006185395151902347,,,,PRUNED
25,0.678035016821713,2026-04-21 17:53:42.030877,2026-04-21 17:53:44.709976,0 days 00:00:02.679099,256,1.0,0.33925822116928794,1.3829376630703092,80,0.1536844730045568,0.15736755189617904,0.00040134214603963883,0.18488334166076778,1,0.0029960416054059173,,,,PRUNED
26,0.717881227177534,2026-04-21 17:53:44.711068,2026-04-21 17:53:48.492341,0 days 00:00:03.781273,256,1.0,0.43904773274598735,1.1687466570336758,96,0.34765665039393645,0.18317321622713617,0.0007220582574141617,0.24805349026756457,2,0.0012663900163028042,,,,PRUNED
27,0.7413975618491091,2026-04-21 17:53:48.493565,2026-04-21 17:53:52.193846,0 days 00:00:03.700281,256,1.0,0.5605968217142064,1.6180791993877643,64,0.20022860037681423,0.1987179269230298,0.0010994218560308692,0.1809668025058806,1,0.0009181257005973256,,,,PRUNED
28,0.7029787425820112,2026-04-21 17:53:52.195072,2026-04-21 17:53:55.051518,0 days 00:00:02.856446,256,0.5,0.38696019010732496,1.0024331973671214,32,0.15574556896711603,0.17354259207647887,0.0008821584403769332,0.34199994288715996,2,0.00010215837022558029,,,,PRUNED
29,0.7051934573743246,2026-04-21 17:53:55.052513,2026-04-21 17:53:57.986021,0 days 00:00:02.933508,256,0.75,0.4976786703690408,1.9497890701867475,128,0.2874574763313004,0.18838848012353981,0.0006478984637131291,0.22071207758347736,1,0.00022177548041101694,,,,PRUNED
30,0.681730267795816,2026-04-21 17:53:57.987189,2026-04-21 17:54:00.718650,0 days 00:00:02.731461,256,0.75,0.46018564023232217,1.3163158210945465,80,0.23177359561279667,0.15647720713845042,0.0005282041430822441,0.28574061401578216,1,0.0005449265520399882,,,,PRUNED
31,0.7595096144019159,2026-04-21 17:54:00.719593,2026-04-21 17:54:09.964446,0 days 00:00:09.244853,128,1.0,0.5795793594522228,1.7881032227521039,96,0.07596060391827822,0.10181939738786541,0.000940448972122124,0.17683989410994078,2,0.00010675057298644373,0.0020723714443140473,0.7595096144019159,0.7595096144019159,COMPLETE
32,0.766535778983326,2026-04-21 17:54:09.965380,2026-04-21 17:54:21.918493,0 days 00:00:11.953113,128,1.0,0.5766286109216396,1.7937254968573988,96,0.04889046913996514,0.08637453867706114,0.0009809088126582904,0.1793659555267129,2,0.00014114557203084765,0.019871428426498805,0.766535778983326,0.766535778983326,COMPLETE
33,0.7529279237908089,2026-04-21 17:54:21.919807,2026-04-21 17:54:32.975043,0 days 00:00:11.055236,128,1.0,0.5844246501626613,2.210023645689666,96,0.0479687292631876,0.07858943479217033,0.0007783532729319613,0.1844393174135792,2,0.00012788445032322203,0.02219688520311769,0.7529279237908089,0.7529279237908089,COMPLETE
34,0.6519754725526347,2026-04-21 17:54:32.975978,2026-04-21 17:54:37.514832,0 days 00:00:04.538854,128,1.0,0.5859980452360192,2.3964244168314814,96,0.06039403168817099,0.09570976701127071,0.00024160867607592385,0.17068551220343775,2,0.00018752361596465416,,,,PRUNED
35,0.7544435989263637,2026-04-21 17:54:37.515757,2026-04-21 17:54:47.578027,0 days 00:00:10.062270,128,1.0,0.5362981894423494,1.5196944153511398,96,0.004462382744321411,0.06469990349433188,0.0010971552038453783,0.22754672179731997,2,0.00014443564461408032,0.025523224263697575,0.7544435989263637,0.7544435989263637,COMPLETE
36,0.7612453949829644,2026-04-21 17:54:47.579277,2026-04-21 17:55:01.299345,0 days 00:00:13.720068,128,1.0,0.5933924206096716,1.7521692445757522,96,0.07755425780998323,0.11116600470831615,0.0008358283453124198,0.5136227336108864,2,0.00016461671107554325,0.025248995263581153,0.7612453949829644,0.7612453949829644,COMPLETE
37,0.7593060819553233,2026-04-21 17:55:01.300848,2026-04-21 17:55:15.064146,0 days 00:00:13.763298,128,1.0,0.6205713313763735,1.698044620524942,96,0.08880585097188698,0.1204840085626621,0.0007349775689218113,0.4823807873920184,2,0.00016409651256532506,0.03140734548487323,0.7593060819553233,0.7597282856007853,COMPLETE
38,0.7094803177274013,2026-04-21 17:55:15.065257,2026-04-21 17:55:18.961732,0 days 00:00:03.896475,128,0.75,0.5479154258451501,1.1508372701050418,48,0.024893192256406328,0.09236634822732022,0.0008016387226746559,0.5157853487042189,1,0.0003572406838144976,,,,PRUNED
39,0.6971939468328506,2026-04-21 17:55:18.962650,2026-04-21 17:55:23.556523,0 days 00:00:04.593873,128,1.0,0.6456949499276851,2.0406680017585,96,0.12717546346928704,0.1323496248665519,0.00036138652280310007,0.41031081217837573,2,0.00028833129258571115,,,,PRUNED
40,0.7095946818344521,2026-04-21 17:55:23.557649,2026-04-21 17:55:27.449380,0 days 00:00:03.891731,128,0.5,0.6004845641749386,2.304037687245372,48,0.026364085434826108,0.11139724706923751,0.000860007571155331,0.45687405688628635,1,0.00020242047244015994,,,,PRUNED
41,0.6875674091740193,2026-04-21 17:55:27.450289,2026-04-21 17:55:32.117145,0 days 00:00:04.666856,128,1.0,0.5733462950325773,1.792649272609145,96,0.08085065553549045,0.08734589207514795,0.0009275241516916674,0.5001979125375007,2,0.00012469861767923056,,,,PRUNED
42,0.7409285547409866,2026-04-21 17:55:32.118155,2026-04-21 17:55:38.471425,0 days 00:00:06.353270,128,1.0,0.5990209518571314,1.9172106051651023,96,0.07206750319843053,0.0680604099081791,0.001177514335488748,0.5464414340335865,2,0.0001150483380421786,,,,PRUNED
43,0.7167680357251641,2026-04-21 17:55:38.472404,2026-04-21 17:55:43.935534,0 days 00:00:05.463130,128,1.0,0.41865601358352833,1.640301433492888,96,0.10496594191995855,0.04890215813868036,0.0009503967312371171,0.17699918258186798,2,0.00016358533047218193,,,,PRUNED
44,0.7520263861515767,2026-04-21 17:55:43.936451,2026-04-21 17:55:53.081725,0 days 00:00:09.145274,128,1.0,0.5708352348506974,1.7156896529270815,96,0.045224771788770955,0.10622104479975894,0.0008722876142024682,0.20449939362519975,2,0.0002451897212951806,0.011375308608470025,0.7520263861515767,0.7520263861515767,COMPLETE
45,0.7589756074387322,2026-04-21 17:55:53.082875,2026-04-21 17:56:08.013296,0 days 00:00:14.930421,128,1.0,0.5413719146963072,1.7570841454496666,128,0.10924942486334832,0.11821044156922161,0.0010058325545878471,0.3981394283176271,2,0.00014097365950540961,0.03807910573599749,0.7589756074387322,0.7613993391595314,COMPLETE
46,0.733775053117894,2026-04-21 17:56:08.014401,2026-04-21 17:56:13.594488,0 days 00:00:05.580087,128,1.0,0.6092959454988154,1.8747972218252555,96,0.12363951824156304,0.13209445988300805,0.0006779176705862021,0.16828528904985746,1,0.0003458783283969144,,,,PRUNED
47,0.7592738176857643,2026-04-21 17:56:13.595512,2026-04-21 17:56:26.087411,0 days 00:00:12.491899,128,1.0,0.5195497061268639,1.5557603622997227,64,0.030705422961091043,0.08544401102241429,0.001140464005177664,0.19555870116263843,2,0.00016985678834365793,0.028737867410035367,0.7592738176857643,0.7592738176857643,COMPLETE
48,0.7320469210419316,2026-04-21 17:56:26.088474,2026-04-21 17:56:31.005866,0 days 00:00:04.917392,128,1.0,0.34007197708519216,2.1181913445790723,128,0.0666849003117164,0.09687707066334036,0.0006052839375708579,0.44213544253795645,1,0.00010057330128888926,,,,PRUNED
49,0.7038669481019021,2026-04-21 17:56:31.006864,2026-04-21 17:56:35.584652,0 days 00:00:04.577788,128,0.5,0.6340505237168433,1.463967876366248,32,0.0944666709560637,0.07494151122446055,0.0010436670168400418,0.3741548960042579,2,0.00023462955641451232,,,,PRUNED
